               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.086866,            0.063507,            0.034198,             0.23422,             0.38525,             0.28168,              0.1214,            0.061538,            0.014803,            0.027016,            0.070092,           0.0033231,           0.0033231
                   1,            0.063832,            0.056138,            0.020166,             0.53744,             0.64806,             0.59326,             0.24136,            0.055465,            0.011337,            0.011365,            0.040048,           0.0066125,           0.0066125
                   2,            0.056789,            0.053278,            0.015245,             0.83562,             0.76915,             0.84517,             0.42618,            0.045678,           0.0099659,           0.0090445,           0.0099602,           0.0098579,           0.0098579
                   3,            0.051098,            0.052037,            0.013701,             0.86885,             0.81255,             0.87903,             0.44215,            0.043283,             0.01013,            0.008102,            0.009802,            0.009802,            0.009802
                   4,            0.047915,            0.051212,            0.012784,             0.87693,             0.83695,             0.90432,             0.49278,             0.04051,           0.0099268,           0.0074863,            0.009802,            0.009802,            0.009802
                   5,            0.046492,            0.049766,            0.012139,              0.9023,             0.86038,             0.92835,             0.51692,            0.039338,           0.0093218,           0.0068149,            0.009736,            0.009736,            0.009736
                   6,             0.04505,            0.049136,            0.011792,             0.88876,             0.85682,             0.91803,             0.48822,            0.041376,           0.0093959,           0.0072684,             0.00967,             0.00967,             0.00967
                   7,            0.044301,            0.048515,            0.011339,             0.90927,              0.8627,             0.93025,              0.5329,            0.038132,           0.0091462,           0.0063997,            0.009604,            0.009604,            0.009604
                   8,            0.043321,            0.047544,            0.011186,             0.90066,             0.87388,             0.94079,             0.54719,            0.037394,           0.0089107,           0.0062199,            0.009538,            0.009538,            0.009538
                   9,            0.042958,            0.047958,            0.010993,             0.89928,             0.89074,             0.93593,             0.54606,            0.036954,           0.0092267,           0.0063658,            0.009472,            0.009472,            0.009472
                  10,            0.042314,            0.046998,            0.010851,             0.90834,              0.8957,             0.94342,             0.55955,            0.036517,           0.0088387,             0.00625,            0.009406,            0.009406,            0.009406
                  11,            0.041904,            0.046736,            0.010588,             0.90211,             0.92212,              0.9502,             0.56675,            0.036456,           0.0086901,           0.0059456,             0.00934,             0.00934,             0.00934
                  12,            0.041364,            0.046292,            0.010356,             0.92386,             0.91909,             0.94801,              0.5615,            0.036539,           0.0086811,           0.0059439,            0.009274,            0.009274,            0.009274
                  13,            0.041291,             0.04616,            0.010347,             0.91039,             0.92414,             0.95448,             0.57228,            0.035873,           0.0086445,            0.005742,            0.009208,            0.009208,            0.009208
                  14,            0.040943,            0.045629,            0.010289,             0.90435,             0.92401,             0.95226,             0.56708,            0.035924,           0.0087005,            0.005863,            0.009142,            0.009142,            0.009142
                  15,            0.040632,            0.045745,            0.010229,             0.90175,             0.91533,             0.94533,             0.57297,            0.035719,           0.0086234,           0.0060927,            0.009076,            0.009076,            0.009076
                  16,            0.040387,            0.046025,            0.010068,             0.91682,             0.92852,             0.95809,              0.5793,            0.035518,           0.0085152,           0.0058201,             0.00901,             0.00901,             0.00901
