               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,               0.064,            0.018017,                   0,             0.83835,             0.86989,             0.90371,             0.50143,            0.034999,           0.0069078,                   0,            0.003325,            0.003325,            0.070075
                   1,            0.040893,            0.013218,                   0,             0.93853,             0.92547,             0.95933,              0.5177,            0.030179,           0.0056509,                   0,           0.0066144,           0.0066144,            0.040031
                   2,            0.037637,            0.011902,                   0,             0.94689,             0.91921,             0.95256,             0.61874,            0.028807,           0.0056598,                   0,           0.0098598,           0.0098598,           0.0099427
                   3,            0.035751,            0.011996,                   0,             0.93909,             0.91075,             0.96185,             0.62914,            0.025717,           0.0058631,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.033522,            0.011451,                   0,             0.96872,             0.95747,             0.98406,             0.67103,            0.024262,           0.0049865,                   0,            0.009802,            0.009802,            0.009802
                   5,             0.03198,            0.010927,                   0,             0.96966,             0.95915,             0.98634,             0.67412,            0.023823,           0.0049143,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.031121,            0.010871,                   0,             0.97445,             0.96874,              0.9894,             0.69152,             0.02297,           0.0047994,                   0,             0.00967,             0.00967,             0.00967
                   7,             0.03002,            0.010696,                   0,             0.97392,             0.96227,             0.98826,             0.68324,            0.022935,           0.0048308,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.029714,            0.010436,                   0,             0.98079,             0.97276,             0.99157,             0.70487,            0.021997,           0.0045774,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.029255,             0.01023,                   0,             0.97716,             0.97313,             0.99109,             0.70253,            0.021908,           0.0044904,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.028608,            0.010113,                   0,             0.98196,             0.98182,             0.99261,             0.71734,            0.021138,           0.0044119,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.028025,           0.0099964,                   0,             0.97937,             0.97608,             0.99171,             0.71374,            0.021278,           0.0044284,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.028062,           0.0099402,                   0,             0.97627,             0.97658,             0.99182,             0.71003,            0.021563,           0.0044199,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.027915,           0.0099406,                   0,             0.97945,             0.98223,             0.99246,             0.72469,            0.020848,           0.0043372,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.027399,           0.0098482,                   0,             0.97987,             0.97313,             0.99215,             0.71601,             0.02061,            0.004388,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.027053,           0.0097294,                   0,             0.98691,             0.98472,             0.99337,             0.73923,            0.020082,           0.0041966,                   0,            0.009076,            0.009076,            0.009076
                  16,             0.02702,           0.0096199,                   0,             0.98368,             0.98325,             0.99332,             0.74631,            0.019881,           0.0041483,                   0,             0.00901,             0.00901,             0.00901
                  17,             0.02709,           0.0096513,                   0,             0.98116,             0.97764,             0.99274,             0.73809,            0.020183,           0.0042367,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.026654,           0.0096059,                   0,             0.98169,             0.98677,             0.99357,             0.74581,            0.019825,           0.0040868,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.026569,           0.0095538,                   0,              0.9819,             0.97858,             0.99254,             0.73805,            0.019741,           0.0042869,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.026221,           0.0095089,                   0,             0.98966,             0.98589,              0.9941,             0.75592,            0.019257,           0.0040329,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.025843,           0.0093916,                   0,             0.98895,             0.98914,             0.99403,             0.76425,            0.018975,           0.0040385,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.025925,           0.0094428,                   0,              0.9879,             0.99209,             0.99385,             0.75873,            0.018831,           0.0039676,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.025701,           0.0093038,                   0,             0.98156,             0.98491,             0.99319,             0.75002,            0.019133,           0.0040812,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.025799,           0.0093667,                   0,             0.98897,             0.98877,             0.99432,             0.76169,             0.01865,           0.0039054,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.025483,           0.0093115,                   0,             0.99099,             0.98951,             0.99411,             0.76537,            0.018703,           0.0039421,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.025517,           0.0092905,                   0,             0.98697,             0.98991,              0.9941,             0.77251,            0.018185,           0.0038748,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.024937,           0.0091901,                   0,             0.99043,             0.99043,              0.9941,             0.77433,             0.01819,            0.003838,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.024852,           0.0090936,                   0,             0.99208,             0.99077,             0.99425,             0.77448,            0.018387,            0.003855,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.024859,           0.0090186,                   0,             0.98736,             0.99175,             0.99391,             0.76618,            0.018299,            0.003911,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.024711,           0.0090913,                   0,             0.99044,             0.99104,             0.99427,             0.77727,            0.018121,           0.0037971,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.024585,           0.0089886,                   0,             0.99079,             0.98973,              0.9941,             0.77567,            0.017909,            0.003804,                   0,             0.00802,             0.00802,             0.00802
                  32,             0.02479,           0.0090206,                   0,             0.99282,              0.9929,             0.99442,             0.78488,            0.017624,            0.003714,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.024186,           0.0089286,                   0,             0.99373,             0.99172,             0.99449,             0.78473,            0.017511,           0.0037281,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.024014,           0.0087381,                   0,             0.99102,             0.99497,              0.9944,             0.78821,            0.017373,           0.0036782,                   0,            0.007822,            0.007822,            0.007822
                  35,             0.02424,           0.0089096,                   0,             0.99265,             0.99365,             0.99433,              0.7819,            0.017467,            0.003744,                   0,            0.007756,            0.007756,            0.007756
                  36,             0.02413,           0.0089262,                   0,             0.99318,             0.99185,             0.99431,             0.79091,            0.017203,           0.0036796,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.024231,           0.0089227,                   0,             0.99101,             0.99338,             0.99438,             0.78641,             0.01756,           0.0037028,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.023832,           0.0087313,                   0,             0.99074,             0.99466,              0.9943,             0.79341,            0.016997,           0.0036239,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.024031,            0.008993,                   0,             0.99328,             0.99282,             0.99446,             0.79373,             0.01734,           0.0036608,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.023766,           0.0087975,                   0,             0.99411,             0.99342,             0.99459,               0.798,            0.016791,           0.0035817,                   0,            0.007426,            0.007426,            0.007426
                  41,            0.023729,           0.0086478,                   0,             0.99229,             0.99515,             0.99444,             0.79428,            0.016852,           0.0036448,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.023682,           0.0087003,                   0,             0.99283,             0.99368,             0.99462,             0.80118,            0.016653,           0.0035633,                   0,            0.007294,            0.007294,            0.007294
                  43,             0.02354,           0.0087962,                   0,             0.99043,             0.99411,             0.99443,             0.79547,            0.016566,           0.0036006,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.023286,           0.0086459,                   0,             0.99358,             0.99643,              0.9947,             0.80123,            0.016721,           0.0035292,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.023251,           0.0085474,                   0,             0.99492,             0.99485,             0.99471,             0.80177,            0.016486,           0.0035282,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.023401,           0.0086524,                   0,              0.9954,             0.99528,             0.99467,             0.80501,            0.016324,            0.003509,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.022957,           0.0085762,                   0,             0.99124,             0.99522,             0.99457,             0.80594,            0.016256,           0.0035176,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.022684,           0.0085697,                   0,             0.99172,             0.99522,             0.99458,             0.80978,             0.01618,           0.0034571,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.022943,           0.0085894,                   0,             0.99431,              0.9964,             0.99467,             0.81266,            0.016251,           0.0034369,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.023101,           0.0084002,                   0,             0.99384,             0.99706,             0.99461,              0.8129,            0.015919,           0.0034313,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.022814,           0.0084898,                   0,             0.99248,              0.9965,             0.99466,              0.8063,             0.01623,           0.0034716,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.022628,           0.0084831,                   0,             0.99301,             0.99761,             0.99477,             0.81603,            0.015802,           0.0034171,                   0,            0.006634,            0.006634,            0.006634
                  53,            0.022716,           0.0083358,                   0,             0.99396,             0.99669,             0.99477,              0.8152,            0.015653,           0.0033993,                   0,            0.006568,            0.006568,            0.006568
                  54,            0.022453,           0.0082413,                   0,             0.99431,             0.99749,             0.99482,             0.82003,            0.015582,           0.0033655,                   0,            0.006502,            0.006502,            0.006502
                  55,            0.022347,           0.0084282,                   0,             0.99486,             0.99707,             0.99479,             0.81849,            0.015575,           0.0033667,                   0,            0.006436,            0.006436,            0.006436
                  56,            0.022536,           0.0083371,                   0,              0.9934,             0.99816,             0.99476,             0.82109,            0.015426,           0.0033375,                   0,             0.00637,             0.00637,             0.00637
                  57,            0.022146,           0.0083071,                   0,             0.99504,              0.9976,             0.99483,             0.82325,            0.015323,           0.0033184,                   0,            0.006304,            0.006304,            0.006304
                  58,            0.022141,           0.0083165,                   0,              0.9945,             0.99883,             0.99488,             0.82076,            0.015285,           0.0033193,                   0,            0.006238,            0.006238,            0.006238
                  59,            0.022184,           0.0084096,                   0,             0.99403,             0.99798,             0.99486,             0.82329,            0.015159,           0.0033121,                   0,            0.006172,            0.006172,            0.006172
                  60,            0.022203,           0.0082153,                   0,             0.99322,             0.99834,             0.99472,             0.82549,            0.015152,           0.0032986,                   0,            0.006106,            0.006106,            0.006106
                  61,            0.021947,            0.008218,                   0,             0.99377,              0.9982,             0.99469,             0.82739,            0.015071,           0.0032718,                   0,             0.00604,             0.00604,             0.00604
                  62,            0.022065,           0.0082888,                   0,             0.99498,             0.99614,             0.99477,             0.82804,            0.015047,            0.003259,                   0,            0.005974,            0.005974,            0.005974
                  63,            0.021909,           0.0081037,                   0,             0.99359,             0.99883,             0.99479,             0.83268,            0.014865,           0.0032272,                   0,            0.005908,            0.005908,            0.005908
                  64,            0.021938,           0.0082184,                   0,             0.99578,             0.99724,              0.9948,             0.83075,            0.014717,           0.0032194,                   0,            0.005842,            0.005842,            0.005842
                  65,            0.021621,           0.0082226,                   0,             0.99489,             0.99834,             0.99471,             0.83229,            0.014664,           0.0032147,                   0,            0.005776,            0.005776,            0.005776
