               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.060822,            0.019973,                   0,             0.80076,             0.82912,             0.86466,             0.48224,            0.031634,           0.0069503,                   0,            0.003325,            0.003325,            0.070075
                   1,            0.039633,            0.012195,                   0,              0.8781,               0.867,             0.91765,             0.54654,            0.030275,           0.0059872,                   0,           0.0066144,           0.0066144,            0.040031
                   2,            0.038268,            0.011431,                   0,             0.93093,             0.92131,             0.97093,             0.57195,            0.027681,           0.0055123,                   0,           0.0098598,           0.0098598,           0.0099427
                   3,            0.037005,            0.011542,                   0,             0.91319,             0.87532,             0.93009,             0.57661,            0.027807,           0.0056988,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.033638,            0.010849,                   0,             0.94501,             0.91929,             0.96273,             0.60365,            0.026231,           0.0054096,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.032474,            0.010663,                   0,             0.94411,             0.95376,             0.97569,             0.62615,             0.02538,           0.0049471,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.030515,            0.010239,                   0,             0.97562,             0.95151,             0.98702,             0.64733,            0.025631,           0.0048388,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.030052,           0.0099884,                   0,             0.94566,              0.9584,             0.97888,             0.63676,            0.024672,            0.004905,                   0,            0.009604,            0.009604,            0.009604
                   8,             0.02939,            0.009621,                   0,             0.96929,             0.93804,             0.97831,             0.64957,            0.024834,           0.0048038,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.028517,           0.0097728,                   0,             0.95597,             0.94948,             0.97895,             0.65451,             0.02357,           0.0047767,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.028641,           0.0095569,                   0,             0.96857,              0.9688,             0.98504,             0.67502,            0.023728,           0.0046059,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.027449,           0.0094734,                   0,             0.96174,             0.94651,             0.97161,             0.65177,            0.024126,           0.0048492,                   0,             0.00934,             0.00934,             0.00934
