               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.063064,            0.021924,                   0,             0.93624,              0.9049,             0.94713,             0.54996,            0.032831,           0.0085761,                   0,           0.0033235,           0.0033235,            0.070088
                   1,            0.040311,            0.013624,                   0,             0.93217,             0.88262,             0.94989,             0.52129,            0.036077,           0.0078534,                   0,           0.0066129,           0.0066129,            0.040044
                   2,             0.03806,            0.012774,                   0,              0.9243,             0.88903,             0.92861,              0.5579,            0.031316,           0.0074004,                   0,           0.0098583,           0.0098583,           0.0099564
                   3,            0.036638,            0.012598,                   0,             0.92604,             0.92125,              0.9559,             0.60885,            0.029227,           0.0068434,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.033367,            0.012099,                   0,             0.94639,             0.94432,             0.96939,             0.62974,             0.02696,           0.0066452,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.031167,            0.011765,                   0,             0.97564,             0.95237,             0.98103,              0.6413,            0.026901,           0.0064534,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.030479,            0.011466,                   0,             0.96547,             0.95542,             0.97834,             0.65174,            0.026986,           0.0061213,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.030074,            0.011269,                   0,             0.98086,             0.95542,              0.9854,             0.66135,            0.025931,           0.0060801,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.029354,            0.011067,                   0,             0.98543,             0.96875,             0.98844,              0.6593,            0.024411,           0.0061699,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.029343,            0.011021,                   0,             0.98387,             0.95988,             0.98158,             0.65623,            0.024671,           0.0062759,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.027955,            0.010787,                   0,             0.98795,             0.97426,             0.99043,             0.67519,            0.024061,           0.0061803,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.027812,            0.010811,                   0,             0.98501,             0.97608,             0.98656,             0.67032,            0.024893,           0.0059457,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.027378,            0.010546,                   0,             0.98202,             0.97366,             0.98783,             0.68685,            0.024002,            0.005943,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.027161,            0.010576,                   0,             0.98193,             0.96896,             0.98892,             0.66824,            0.023477,           0.0063559,                   0,            0.009208,            0.009208,            0.009208
                  14,             0.02681,            0.010413,                   0,             0.96732,             0.96768,             0.98157,             0.68052,            0.023815,           0.0059759,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.026421,            0.010335,                   0,             0.97629,             0.97177,             0.98723,             0.69555,            0.023281,           0.0059001,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.025895,            0.010133,                   0,              0.9832,              0.9584,             0.98477,             0.68347,            0.023203,           0.0061398,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.025444,            0.010024,                   0,             0.97969,             0.98217,             0.98894,             0.69379,            0.022553,             0.00574,                   0,            0.008944,            0.008944,            0.008944
                  18,             0.02535,            0.010209,                   0,             0.98038,             0.96518,              0.9805,             0.68869,            0.023559,           0.0059128,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.024928,            0.009998,                   0,             0.97987,             0.97474,             0.99022,             0.70147,            0.023393,           0.0059524,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.024724,            0.010067,                   0,             0.98499,             0.97507,              0.9848,             0.69173,            0.022863,           0.0056906,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.024557,           0.0097029,                   0,             0.98601,              0.9792,             0.98875,              0.7025,            0.022931,            0.005701,                   0,             0.00868,             0.00868,             0.00868
                  22,             0.02432,           0.0097873,                   0,             0.98069,             0.98117,             0.99352,             0.70411,            0.022915,           0.0056862,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.024398,           0.0097694,                   0,             0.98785,             0.96659,             0.98827,             0.70787,            0.022603,           0.0058233,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.024384,           0.0096909,                   0,             0.98285,             0.98068,             0.99165,             0.69563,            0.023419,           0.0058412,                   0,            0.008482,            0.008482,            0.008482
                  25,            0.023809,           0.0096078,                   0,             0.98939,             0.97115,             0.99038,             0.69118,            0.022743,           0.0059097,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.023382,           0.0095585,                   0,             0.98556,             0.98217,             0.99111,             0.70188,             0.02249,           0.0058595,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.023346,            0.009444,                   0,             0.98927,              0.9688,             0.98619,               0.694,            0.022884,           0.0058317,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.023532,           0.0093638,                   0,             0.98171,             0.98512,             0.99204,             0.71417,            0.022042,           0.0056664,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.022935,           0.0094163,                   0,             0.98178,             0.98663,              0.9907,             0.70813,            0.021783,           0.0058222,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.022998,           0.0092663,                   0,             0.98538,             0.96577,               0.986,             0.71149,            0.023215,           0.0058746,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.022601,           0.0091934,                   0,             0.97779,             0.98136,             0.98818,             0.70446,            0.021873,           0.0060578,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.022312,           0.0090882,                   0,             0.99246,             0.97728,             0.99059,             0.70876,            0.022676,            0.006097,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.022279,            0.009118,                   0,             0.98951,             0.98141,             0.99047,             0.70018,            0.022446,            0.005829,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.022084,           0.0089866,                   0,             0.98536,             0.98217,             0.98953,              0.7145,            0.022088,           0.0057693,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.021976,           0.0090429,                   0,             0.98789,             0.96987,             0.98853,             0.71718,            0.022617,            0.005734,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.021984,           0.0088683,                   0,             0.98318,             0.98663,             0.99209,              0.7132,            0.022296,           0.0057511,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.022189,           0.0090457,                   0,             0.98367,             0.98433,              0.9853,             0.70254,            0.022258,           0.0057933,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.021913,           0.0089006,                   0,             0.98354,             0.97663,             0.98516,             0.70372,            0.022936,           0.0057314,                   0,            0.007558,            0.007558,            0.007558
