               epoch,      train/box_loss,      train/obj_loss,      train/cls_loss,   metrics/precision,      metrics/recall,     metrics/mAP_0.5,metrics/mAP_0.5:0.95,        val/box_loss,        val/obj_loss,        val/cls_loss,               x/lr0,               x/lr1,               x/lr2
                   0,            0.066404,            0.021196,                   0,             0.73058,               0.789,             0.77923,             0.36923,             0.03601,           0.0083646,                   0,            0.003325,            0.003325,            0.070075
                   1,            0.047511,            0.014911,                   0,             0.87776,             0.84695,             0.89558,             0.47387,            0.034631,           0.0065776,                   0,           0.0066144,           0.0066144,            0.040031
                   2,            0.045961,            0.014238,                   0,             0.80615,             0.82803,             0.83855,             0.43064,            0.037039,           0.0069299,                   0,           0.0098598,           0.0098598,           0.0099427
                   3,            0.044535,            0.014444,                   0,             0.87287,             0.87738,             0.91756,             0.47309,             0.03138,           0.0064154,                   0,            0.009802,            0.009802,            0.009802
                   4,            0.043023,            0.014097,                   0,             0.88887,             0.86756,             0.91674,             0.51663,            0.031104,           0.0060775,                   0,            0.009802,            0.009802,            0.009802
                   5,            0.040662,            0.013578,                   0,             0.93069,             0.87787,             0.93777,             0.53196,            0.029347,            0.005756,                   0,            0.009736,            0.009736,            0.009736
                   6,            0.039687,             0.01347,                   0,             0.91614,             0.87792,             0.93314,             0.56874,            0.028856,           0.0057452,                   0,             0.00967,             0.00967,             0.00967
                   7,            0.038984,            0.013324,                   0,             0.89676,             0.89056,             0.93129,             0.55984,            0.028397,           0.0055655,                   0,            0.009604,            0.009604,            0.009604
                   8,            0.038052,             0.01306,                   0,             0.90914,             0.90689,             0.94142,             0.55484,              0.0281,           0.0058363,                   0,            0.009538,            0.009538,            0.009538
                   9,            0.037874,            0.013092,                   0,              0.8957,             0.91879,             0.94712,             0.56625,            0.028203,           0.0056277,                   0,            0.009472,            0.009472,            0.009472
                  10,            0.037963,             0.01313,                   0,             0.93348,             0.93314,             0.96598,              0.6016,            0.026937,           0.0051246,                   0,            0.009406,            0.009406,            0.009406
                  11,            0.037346,            0.012765,                   0,             0.93242,             0.93016,             0.96089,             0.58605,            0.027595,            0.005272,                   0,             0.00934,             0.00934,             0.00934
                  12,            0.036385,            0.012756,                   0,             0.91647,             0.91382,             0.95524,             0.61345,            0.025097,           0.0053383,                   0,            0.009274,            0.009274,            0.009274
                  13,            0.036175,             0.01265,                   0,             0.93911,             0.94048,             0.96999,             0.61533,            0.025747,           0.0050608,                   0,            0.009208,            0.009208,            0.009208
                  14,            0.036753,              0.0128,                   0,             0.95808,             0.94502,             0.97469,              0.6212,            0.024523,            0.005098,                   0,            0.009142,            0.009142,            0.009142
                  15,            0.036003,            0.012462,                   0,             0.96378,             0.94878,             0.98026,             0.63829,             0.02591,           0.0049299,                   0,            0.009076,            0.009076,            0.009076
                  16,            0.036118,            0.012412,                   0,             0.96922,             0.93576,             0.97249,             0.63809,            0.025912,           0.0049733,                   0,             0.00901,             0.00901,             0.00901
                  17,            0.035743,            0.012884,                   0,             0.94534,             0.87221,             0.94877,             0.58822,            0.027658,           0.0055672,                   0,            0.008944,            0.008944,            0.008944
                  18,            0.036553,            0.012974,                   0,             0.92113,             0.91976,             0.95811,             0.60317,            0.026772,           0.0053853,                   0,            0.008878,            0.008878,            0.008878
                  19,            0.036372,            0.012952,                   0,              0.9544,             0.94048,              0.9761,             0.61425,            0.025185,            0.005095,                   0,            0.008812,            0.008812,            0.008812
                  20,            0.036555,            0.012708,                   0,             0.94297,             0.94196,             0.97296,             0.62869,            0.025322,           0.0050763,                   0,            0.008746,            0.008746,            0.008746
                  21,            0.036038,            0.012551,                   0,              0.9527,             0.95394,             0.97853,             0.62644,            0.025645,           0.0049297,                   0,             0.00868,             0.00868,             0.00868
                  22,            0.035566,            0.012442,                   0,             0.96657,             0.94205,             0.98245,             0.64553,            0.024877,           0.0047457,                   0,            0.008614,            0.008614,            0.008614
                  23,            0.035918,            0.012532,                   0,              0.9469,             0.95231,             0.98072,             0.63808,            0.024926,           0.0052073,                   0,            0.008548,            0.008548,            0.008548
                  24,            0.035282,            0.012248,                   0,             0.94859,             0.96285,             0.98274,             0.64621,            0.024607,            0.004878,                   0,            0.008482,            0.008482,            0.008482
                  25,             0.03547,            0.012371,                   0,             0.95878,             0.96137,             0.98254,             0.64528,            0.024067,            0.004843,                   0,            0.008416,            0.008416,            0.008416
                  26,            0.033793,            0.012215,                   0,             0.96264,             0.95394,             0.98255,             0.64924,            0.023655,           0.0048112,                   0,             0.00835,             0.00835,             0.00835
                  27,            0.034382,            0.012032,                   0,             0.97095,             0.95988,             0.98397,             0.65415,            0.023388,           0.0048069,                   0,            0.008284,            0.008284,            0.008284
                  28,            0.034041,            0.012223,                   0,             0.96241,             0.94799,             0.97431,              0.6425,            0.025283,           0.0047759,                   0,            0.008218,            0.008218,            0.008218
                  29,            0.034519,            0.011897,                   0,             0.96028,             0.96137,              0.9779,             0.63546,            0.023356,           0.0047209,                   0,            0.008152,            0.008152,            0.008152
                  30,            0.033976,            0.011896,                   0,             0.95206,             0.96137,             0.98034,             0.66151,            0.024714,           0.0046472,                   0,            0.008086,            0.008086,            0.008086
                  31,            0.033194,            0.011783,                   0,             0.96648,              0.9688,             0.98768,             0.65572,            0.023332,           0.0046575,                   0,             0.00802,             0.00802,             0.00802
                  32,            0.034783,            0.011788,                   0,              0.9724,             0.97028,             0.98903,             0.65629,            0.023677,            0.004679,                   0,            0.007954,            0.007954,            0.007954
                  33,            0.033429,             0.01198,                   0,             0.95828,              0.9584,             0.97902,             0.66103,            0.023076,           0.0046574,                   0,            0.007888,            0.007888,            0.007888
                  34,            0.033414,            0.012007,                   0,             0.96935,             0.95542,             0.98065,              0.6514,            0.023997,            0.004634,                   0,            0.007822,            0.007822,            0.007822
                  35,            0.034049,            0.011779,                   0,              0.9731,             0.96753,             0.98551,             0.66452,            0.023393,           0.0045183,                   0,            0.007756,            0.007756,            0.007756
                  36,            0.034166,            0.011798,                   0,             0.96661,             0.96582,              0.9798,             0.64945,             0.02434,           0.0045249,                   0,             0.00769,             0.00769,             0.00769
                  37,            0.033286,            0.011651,                   0,             0.96322,             0.96582,             0.98538,             0.66948,            0.023448,           0.0045501,                   0,            0.007624,            0.007624,            0.007624
                  38,            0.032203,            0.011666,                   0,             0.95635,             0.97676,             0.98863,             0.66453,            0.023192,           0.0045367,                   0,            0.007558,            0.007558,            0.007558
                  39,            0.032861,            0.011701,                   0,             0.97068,             0.96731,             0.98536,             0.66432,            0.022903,           0.0045347,                   0,            0.007492,            0.007492,            0.007492
                  40,            0.031962,            0.011479,                   0,             0.97066,             0.96434,             0.98449,             0.66196,            0.023019,           0.0045566,                   0,            0.007426,            0.007426,            0.007426
                  41,              0.0324,             0.01148,                   0,             0.96939,             0.96285,             0.98874,             0.68549,            0.022825,           0.0044986,                   0,             0.00736,             0.00736,             0.00736
                  42,            0.033356,            0.011751,                   0,              0.9749,              0.9584,             0.98422,             0.66828,            0.023016,           0.0044893,                   0,            0.007294,            0.007294,            0.007294
                  43,            0.032612,            0.011596,                   0,             0.97344,             0.97623,             0.98893,             0.67576,            0.022548,           0.0045111,                   0,            0.007228,            0.007228,            0.007228
                  44,            0.032919,            0.011666,                   0,               0.976,             0.96675,             0.98962,             0.66874,            0.023318,           0.0044699,                   0,            0.007162,            0.007162,            0.007162
                  45,            0.032363,            0.011523,                   0,             0.96472,             0.97516,             0.98971,             0.68484,            0.022066,           0.0043954,                   0,            0.007096,            0.007096,            0.007096
                  46,            0.032244,            0.011421,                   0,             0.97172,             0.97014,             0.98778,             0.67673,            0.022335,            0.004417,                   0,             0.00703,             0.00703,             0.00703
                  47,            0.032867,            0.011321,                   0,             0.96762,             0.97474,             0.98859,             0.68328,            0.022268,           0.0044868,                   0,            0.006964,            0.006964,            0.006964
                  48,            0.032432,            0.011524,                   0,             0.97002,             0.97474,             0.98981,             0.68419,             0.02197,           0.0044533,                   0,            0.006898,            0.006898,            0.006898
                  49,            0.031773,            0.011185,                   0,             0.97759,             0.97223,             0.98762,             0.68202,            0.022313,           0.0044291,                   0,            0.006832,            0.006832,            0.006832
                  50,            0.032034,              0.0114,                   0,             0.97603,              0.9679,             0.98842,             0.69422,            0.021909,           0.0043668,                   0,            0.006766,            0.006766,            0.006766
                  51,            0.031845,            0.011327,                   0,             0.96896,             0.97419,             0.98743,             0.68952,            0.021373,           0.0043922,                   0,              0.0067,              0.0067,              0.0067
                  52,            0.032997,            0.011315,                   0,             0.97767,             0.97598,             0.99039,             0.69639,            0.021201,           0.0043578,                   0,            0.006634,            0.006634,            0.006634
